"pid","lat","lon"
2390,41.2827433,-72.8883587
2391,41.2825816,-72.888537
2392,41.2824271,-72.8886975
2393,41.2822391,-72.8888291
2394,41.282047,-72.888879
2395,41.282119,-72.88904
2396,41.282221,-72.889275
2397,41.282398,-72.889131
2398,41.28258,-72.888989
2399,41.282758,-72.888848
2400,41.2829585,-72.888758
2401,41.283194,-72.8886085
2402,41.283328,-72.888449
2403,41.28344,-72.888291
2404,41.2836058,-72.888248
2405,41.283727,-72.88806
2406,41.2839036,-72.8880195
2407,41.2840766,-72.8878842
2408,41.284196,-72.8876949
2409,41.2843534,-72.8876854
2410,41.2819407,-72.8877849
2411,41.2826,-72.887597
2412,41.2823019,-72.8876845
2413,41.28221,-72.8878299
2414,41.282039,-72.887963
2415,41.2818642,-72.8881179
2416,41.28173,-72.888243
2417,41.281852,-72.888553
2418,41.2820244,-72.8885251
2419,41.282187,-72.888283
2420,41.282382,-72.888129
2421,41.2825437,-72.8880486
2422,41.282763,-72.887816
2423,41.282871,-72.887725
2424,41.2830089,-72.8876831
2425,41.2823591,-72.8897306
2426,41.2824342,-72.8898625
2427,41.282538,-72.8900029
2428,41.282684,-72.8899974
2429,41.282799,-72.889932
2430,41.282911,-72.889923
2431,41.28477,-72.8900515
2432,41.283171,-72.889903
2433,41.2833029,-72.889889
2434,41.2834969,-72.88987
2435,41.283699,-72.889848
2436,41.283844,-72.889832
2437,41.284054,-72.88981
2438,41.284262,-72.889791
2439,41.284402,-72.889773
2440,41.284604,-72.8897549
2441,41.284807,-72.889735
2442,41.285004,-72.889713
2443,41.28477,-72.8900515
2444,41.2851695,-72.8897722
2445,41.285561,-72.8896539
2446,41.2854222,-72.8897104
2447,41.285699,-72.889641
2448,41.285835,-72.889625
2449,41.28597,-72.889612
2450,41.286109,-72.889551
2451,41.286243,-72.889535
2452,41.28638,-72.889526
2453,41.286518,-72.889511
2454,41.2866889,-72.8896068
2455,41.286793,-72.889523
2456,41.286926,-72.889508
2457,41.2871049,-72.889528
2458,41.286086,-72.888642
2459,41.2887739,-72.8925716
2460,41.2868282,-72.9609745
2461,41.285773,-72.888209
2462,41.286051,-72.962036
2463,41.286108,-72.961912
2464,41.286181,-72.961757
2465,41.2864948,-72.9616867
2466,41.2865415,-72.961587
2467,41.2868463,-72.9609358
2468,41.2869571,-72.960699
2469,41.2869669,-72.9602914
2470,41.2871835,-72.9602155
2471,41.2850094,-72.9648989
2472,27.8230188,-82.7081468
2473,27.8230188,-82.7081468
2474,27.8230188,-82.7081468
2475,27.8230188,-82.7081468
2476,27.8230188,-82.7081468
2477,27.8230188,-82.7081468
2478,27.8230188,-82.7081468
2479,41.2873505,-72.9598448
2480,41.2872752,-72.9596487
2481,41.2874039,-72.9593798
2482,41.315113,-73.0795873
2483,NA,NA
2484,41.2879033,-72.9586175
2485,41.2832713,-72.8889695
2486,41.283094,-72.8891581
2487,41.282934,-72.88938
2488,41.2827391,-72.8894613
2489,41.2825965,-72.8895535
2490,41.2876261,-72.9593059
2491,41.2874797,-72.9596309
2492,41.287478,-72.960199
2493,41.286935,-72.9608173
2494,41.287072,-72.961074
2495,41.2867613,-72.9611883
2496,41.2867338,-72.9612472
2497,41.2866971,-72.9613256
2498,41.286856,-72.961539
2499,41.28661,-72.962071
2500,41.2865038,-72.9620366
2501,41.2887739,-72.8925716
2502,41.2833163,-72.8887483
2503,41.284931,-72.887723
2504,41.2847887,-72.8878235
2505,41.2846369,-72.887957
2506,41.2844309,-72.888102
2507,41.2841614,-72.8883025
2508,41.284053,-72.888439
2509,41.283935,-72.888536
2510,41.283817,-72.888631
2511,41.283614,-72.888795
2512,41.282986,-72.893616
2513,41.283126,-72.893566
2514,41.283228,-72.8935319
2515,41.283343,-72.893483
2516,41.283472,-72.89344
2517,41.283607,-72.893394
2518,41.283748,-72.893356
2519,41.283882,-72.893309
2520,41.284018,-72.893271
2521,41.2841499,-72.89323
2522,41.284284,-72.893199
2523,41.284413,-72.893156
2524,41.284548,-72.893115
2525,41.284689,-72.893079
2526,41.284822,-72.893045
2527,41.284956,-72.893015
2528,41.2850899,-72.892976
2529,41.285224,-72.892944
2530,41.285353,-72.892908
2531,41.2854839,-72.892873
2532,41.285625,-72.892838
2533,41.285814,-72.892938
2534,41.2857634,-72.8925795
2535,41.2858415,-72.891805
2536,41.282958,-72.892381
2537,41.283158,-72.892319
2538,41.283289,-72.892281
2539,41.283419,-72.892242
2540,41.283556,-72.892202
2541,41.283692,-72.892162
2542,41.283825,-72.892123
2543,41.283959,-72.892083
2544,41.284126,-72.892033
2545,41.284331,-72.891971
2546,41.2844856,-72.8919048
2547,41.284671,-72.891871
2548,41.284837,-72.891822
2549,41.284971,-72.891783
2550,41.285105,-72.891743
2551,41.285239,-72.891704
2552,41.2858415,-72.891805
2553,41.285503,-72.891626
2554,41.2856515,-72.8916416
2555,41.285773,-72.8915449
2556,41.285905,-72.891507
2557,41.286068,-72.891458
2558,41.2863032,-72.8914333
2559,41.2864647,-72.8913798
2560,41.2865702,-72.891363
2561,41.28667,-72.8913396
2562,41.2867891,-72.8912613
2563,41.2867793,-72.8912637
2564,41.287048,-72.8911828
2565,41.2869583,-72.8908935
2566,41.2869358,-72.8907581
2567,41.2854764,-72.8910278
2568,41.2865186,-72.8909273
2569,41.286316,-72.891017
2570,41.286179,-72.891057
2571,41.2860369,-72.8910563
2572,41.285843,-72.891152
2573,41.285708,-72.891189
2574,41.2855755,-72.8911798
2575,41.28544,-72.891267
2576,41.285303,-72.891304
2577,41.285069,-72.89137
2578,41.284837,-72.891435
2579,41.284639,-72.891491
2580,41.2843924,-72.8914836
2581,41.284204,-72.891614
2582,41.2840263,-72.8916056
2583,41.283834,-72.891719
2584,41.283598,-72.8917869
2585,41.283327,-72.891862
2586,41.283092,-72.8919279
2587,41.282957,-72.8919669
2588,41.2854764,-72.8910278
2589,41.282779,-72.891425
2590,41.2829178,-72.8914467
2591,41.283086,-72.891288
2592,41.2832957,-72.8913613
2593,41.28352,-72.891169
2594,41.283774,-72.8911229
2595,41.284039,-72.891023
2596,41.2854764,-72.8910278
2597,41.2844399,-72.890932
2598,41.2846865,-72.890975
2599,41.284937,-72.890826
2600,41.2854764,-72.8910278
2601,41.285335,-72.890718
2602,41.285474,-72.890689
2603,41.285642,-72.890658
2604,41.285831,-72.890613
2605,41.285982,-72.890585
2606,41.286095,-72.890562
2607,41.286234,-72.890538
2608,41.286403,-72.890507
2609,41.2866044,-72.8905037
2610,41.286837,-72.890426
2611,41.286846,-72.890114
2612,41.2866969,-72.890122
2613,41.286564,-72.890136
2614,41.2864212,-72.890095
2615,41.286264,-72.890164
2616,41.286054,-72.890185
2617,41.285876,-72.890204
2618,41.28477,-72.8900515
2619,41.285603,-72.890231
2620,41.285446,-72.890253
2621,41.285285,-72.890274
2622,41.2851477,-72.890194
2623,41.285024,-72.890329
2624,41.284906,-72.890344
2625,41.284795,-72.890358
2626,41.284683,-72.890373
2627,41.28457,-72.890387
2628,41.284451,-72.890404
2629,41.2843159,-72.890394
2630,41.2841309,-72.8903742
2631,41.283927,-72.89049
2632,41.283657,-72.890537
2633,41.28346,-72.890568
2634,41.28325,-72.890598
2635,41.2830299,-72.890628
2636,41.2828639,-72.890564
2637,41.282697,-72.890582
2638,41.28477,-72.8900515
2639,41.282822,-72.890987
2640,41.2854764,-72.8910278
2641,41.2854764,-72.8910278
2642,41.287907,-72.888726
2643,41.287755,-72.88855
2644,41.2875989,-72.8885433
2645,41.287377,-72.8886069
2646,41.2894866,-72.8877925
2647,41.2871645,-72.8873074
2648,41.2887739,-72.8925716
2649,41.2862081,-72.8877419
2650,41.286363,-72.88788
2651,41.2887739,-72.8925716
2652,41.286767,-72.8880719
2653,41.287431,-72.887871
2654,41.2869364,-72.8886452
2655,41.287069,-72.8886761
2656,41.287166,-72.888807
2657,41.287261,-72.888937
2658,41.287438,-72.889045
2659,41.287681,-72.888953
2660,41.286113,-72.892833
2661,41.286255,-72.8928
2662,41.286385,-72.8927099
2663,41.286523,-72.892678
2664,41.2866927,-72.8927877
2665,41.2868412,-72.8927458
2666,41.287006,-72.8927615
2667,41.2871273,-72.8927223
2668,41.287264,-72.8926985
2669,41.2874024,-72.8926243
2670,41.287537,-72.8926365
2671,41.2876473,-72.8925232
2672,41.2877683,-72.892533
2673,41.287861,-72.892337
2674,41.288043,-72.892287
2675,41.288232,-72.892241
2676,41.2883769,-72.892275
2677,41.2885559,-72.8922285
2678,41.288433,-72.89183
2679,41.288317,-72.89166
2680,41.2883381,-72.8913655
2681,41.288017,-72.891591
2682,41.2878507,-72.891432
2683,41.287736,-72.8914552
2684,41.287649,-72.891696
2685,41.2875036,-72.8915086
2686,41.2873565,-72.8915885
2687,41.287236,-72.8916082
2688,41.2871049,-72.891645
2689,41.2869916,-72.8916884
2690,41.2868817,-72.891713
2691,41.286752,-72.8917358
2692,41.2866419,-72.8917245
2693,41.286527,-72.892026
2694,41.286409,-72.892057
