"pid","location","totval","bedrooms","bathrooms","halfbaths"
407,"20 LEROY TER",163800,3,1,0
408,"16 LEROY TER",272200,3,1,0
409,"60 SOUND VIEW TER",171100,3,1,0
410,"44 SOUND VIEW TER",261800,4,1,0
411,"30 SOUND VIEW TER",175300,3,1,1
412,"835 TOWNSEND AV",200100,2,1,0
413,"845 TOWNSEND AV",262800,4,1,1
414,"853 TOWNSEND AV",220200,4,3,0
415,"LEROY TER",500,NA,NA,NA
416,"155 UPSON TER",172500,3,1,1
417,"165 UPSON TER",188000,3,1,1
418,"175 UPSON TER",188600,3,1,1
419,"185 UPSON TER",215300,4,1,1
420,"195 UPSON TER",198700,3,1,1
421,"205 UPSON TER",172700,3,1,1
422,"215 UPSON TER",204100,3,1,1
423,"140 SOUND VIEW TER",199400,4,2,0
424,"70 HORSLEY AV",170900,3,2,0
425,"136 SOUND VIEW TER",210200,3,1,1
426,"126 SOUND VIEW TER",191300,2,2,0
427,"114 SOUND VIEW TER",193800,3,1,1
428,"104 SOUND VIEW TER",208200,3,1,1
429,"92 SOUND VIEW TER",210000,3,1,1
430,"80 SOUND VIEW TER",213000,3,1,0
431,"15 LEROY TER",174700,3,1,0
432,"773 TOWNSEND AV",219600,3,1,1
433,"105 TUTTLE DR",279100,4,3,0
434,"115 TUTTLE DR",315000,4,2,0
435,"123 TUTTLE DR",236000,3,1,1
436,"129 TUTTLE DR",187900,3,1,1
437,"139 TUTTLE DR",218100,2,2,0
438,"147 TUTTLE DR",203300,3,1,1
439,"155 TUTTLE DR",249900,3,2,0
440,"167 TUTTLE DR",370100,4,4,0
441,"171 TUTTLE DR",1000,NA,NA,NA
442,"110 TOWNSEND TER",191100,3,2,0
443,"102 TOWNSEND TER",186800,3,2,NA
444,"96 TOWNSEND TER",177500,3,1,1
445,"88 TOWNSEND TER",195200,2,2,0
446,"84 TOWNSEND TER",189900,3,1,1
447,"80 TOWNSEND TER",152500,2,1,0
448,"72 TOWNSEND TER",225900,4,2,0
449,"66 TOWNSEND TER",175900,2,1,1
450,"60 TOWNSEND TER",165100,3,1,1
451,"52 TOWNSEND TER",223700,3,1,1
452,"46 TOWNSEND TER",186300,3,1,1
453,"38 TOWNSEND TER",166900,2,1,0
454,"30 TOWNSEND TER",197300,3,2,1
455,"22 TOWNSEND TER",173600,2,1,0
456,"663 TOWNSEND AV",342700,4,3,0
457,"701 TOWNSEND AV",1000,NA,NA,NA
