"pid","location","totval","bedrooms","bathrooms","halfbaths"
429,"92 SOUND VIEW TER","210000","3","1","1"
430,"80 SOUND VIEW TER","213000","3","1","0"
431,"15 LEROY TER","174700","3","1","0"
432,"773 TOWNSEND AV","219600","3","1","1"
433,"105 TUTTLE DR","279100","4","3","0"
434,"115 TUTTLE DR","315000","4","2","0"
435,"123 TUTTLE DR","236000","3","1","1"
436,"129 TUTTLE DR","187900","3","1","1"
437,"139 TUTTLE DR","218100","2","2","0"
438,"147 TUTTLE DR","203300","3","1","1"
439,"155 TUTTLE DR","249900","3","2","0"
440,"167 TUTTLE DR","370100","4","4","0"
441,"171 TUTTLE DR","1000","","",""
442,"110 TOWNSEND TER","191100","3","2","0"
443,"102 TOWNSEND TER","186800","3","2",""
444,"96 TOWNSEND TER","177500","3","1","1"
445,"88 TOWNSEND TER","195200","2","2","0"
446,"84 TOWNSEND TER","189900","3","1","1"
447,"80 TOWNSEND TER","152500","2","1","0"
448,"72 TOWNSEND TER","225900","4","2","0"
449,"66 TOWNSEND TER","175900","2","1","1"
450,"60 TOWNSEND TER","165100","3","1","1"
451,"52 TOWNSEND TER","223700","3","1","1"
452,"46 TOWNSEND TER","186300","3","1","1"
453,"38 TOWNSEND TER","166900","2","1","0"
454,"30 TOWNSEND TER","197300","3","2","1"
455,"22 TOWNSEND TER","173600","2","1","0"
456,"663 TOWNSEND AV","342700","4","3","0"
457,"701 TOWNSEND AV","1000","","",""
458,"TOWNSEND AV","82800","","",""
459,"709 TOWNSEND AV","1058400","6","6","1"
459,"709 TOWNSEND AV","1058400","2","1",""
459,"709 TOWNSEND AV","1058400","1","1",""
460,"725 TOWNSEND AV","1900","","",""
461,"745 TOWNSEND AV","415","","",""
462,"757 TOWNSEND AV","222300","4","2","1"
463,"765 TOWNSEND AV","225700","3","1","0"
464,"601 TOWNSEND AV","317000","4","1","1"
465,"23 HALL ST","196200","2","1","1"
466,"27 HALL ST","211300","2","2","1"
467,"33 HALL ST","222000","3","1","1"
468,"41 HALL ST","263700","5","2","1"
469,"47 HALL ST","188700","3","1","1"
470,"55 HALL ST","172900","3","1","1"
471,"61 HALL ST","169400","3","1","1"
472,"65 HALL ST","169100","3","1","1"
473,"71 HALL ST","203200","3","1","1"
474,"77 HALL ST","198800","3","1","1"
475,"83 HALL ST","170500","3","1","1"
476,"89 HALL ST","168900","3","1","1"
477,"95 HALL ST","171600","3","1","1"
478,"103 HALL ST","209500","3","1","1"
479,"105 HALL ST","171800","3","1","1"
480,"424 FORT HALE RD","174600","2","1","0"
481,"408 FORT HALE RD","168600","3","1","0"
482,"400 FORT HALE RD","175500","3","1","0"
483,"386 FORT HALE RD","175400","3","1","1"
484,"368 FORT HALE RD","186500","2","1","0"
485,"FORT HALE RD","54900","","",""
486,"350 FORT HALE RD","179800","3","1","1"
487,"340 FORT HALE RD","204900","4","2","0"
488,"330 FORT HALE RD","178900","2","1","0"
489,"320 FORT HALE RD","182600","2","1","1"
490,"306 FORT HALE RD","173700","3","1","1"
491,"294 FORT HALE RD","226400","3","1","1"
492,"280 FORT HALE RD","215500","3","2","0"
493,"270 FORT HALE RD","235300","3","1","1"
494,"260 FORT HALE RD","228600","3","2","0"
495,"581 TOWNSEND AV","172300","2","1","1"
496,"591 TOWNSEND AV","239800","3","1","1"
497,"106 HALL ST","246200","2","3","0"
498,"100 HALL ST","234200","3","2","1"
499,"94 HALL ST","209700","3","1","1"
500,"88 HALL ST","181500","3","2","1"
501,"82 HALL ST","165800","3","1","1"
502,"76 HALL ST","205500","3","2","1"
503,"72 HALL ST","226900","4","2","0"
504,"66 HALL ST","184000","3","1","1"
505,"60 HALL ST","205100","3","1","1"
506,"54 HALL ST","202600","3","1","1"
507,"46 HALL ST","186500","3","1","1"
508,"40 HALL ST","207700","3","1","1"
509,"34 HALL ST","173000","3","1","1"
510,"28 HALL ST","195400","3","1","1"
511,"22 HALL ST","184900","3","1","1"
512,"HALL ST","4100","","",""
513,"8 HALL ST","245400","3","2","0"
514,"621 TOWNSEND AV","252900","3","1","1"
515,"635 TOWNSEND AV","402500","3","2","1"
516,"641 TOWNSEND AV","5500","","",""
517,"49 TOWNSEND TER","225000","3","2","0"
518,"645 TOWNSEND AV","239400","4","2","1"
519,"655 TOWNSEND AV","304200","3","2","1"
520,"25 TOWNSEND TER","189400","2","1","1"
521,"33 TOWNSEND TER","279100","4","2","2"
522,"37 TOWNSEND TER","298400","4","2","1"
523,"43 TOWNSEND TER","134100","2","1","0"
524,"TOWNSEND TER","3100","","",""
525,"51 TOWNSEND TER","163300","2","2","0"
526,"59 TOWNSEND TER","152500","2","1","0"
527,"65 TOWNSEND TER","212900","3","1","1"
528,"71 TOWNSEND TER","206300","3","1","1"
529,"77 TOWNSEND TER","136600","2","1","0"
530,"85 TOWNSEND TER","187600","3","1","1"
531,"91 TOWNSEND TER","154800","3","1","0"
532,"99 TOWNSEND TER","161500","3","1","0"
533,"105 TOWNSEND TER","196300","3","2","0"
534,"111 TOWNSEND TER","169900","2","1","1"
535,"220 HYDE ST","215000","3","2","0"
536,"15 TOLLI TER","194500","3","1","0"
537,"19 TOLLI TER","211100","3","2","0"
538,"27 TOLLI TER","220500","3","2","0"
539,"35 TOLLI TER","215100","3","1","1"
540,"43 TOLLI TER","268400","3","1","1"
541,"59 TOLLI TER","293400","3","2","1"
542,"52 TOLLI TER","218100","3","1","1"
543,"48 TOLLI TER","217700","3","1","1"
544,"40 TOLLI TER","254400","3","2","1"
