"pid","location","totval","bedrooms","nineplus","finalbaths","price1","date1","price2","date2","price3","date3","price4","date4","price5","date5","yearbuilt","sqft","pctgood","style","model","grade","occupancy","actype","bathstyle","kstyle","acres","zone","neighborhood","garagesqft","latitude","longitude"
18220,"726 ORCHARD ST",85400,6,0,2,0,"12/16/2014",54000,"12/16/2014",0,"09/12/2013",0,"09/12/2013",0,"06/28/1982",1900,1920,78,"2 Family","Multi-Fam 2-4","Average",2,"None","Below Average","Below Average",0.11,"RM2","1600",0,41.320425165,-72.93625323
18221,"722 ORCHARD ST",25200,6,0,2,60700,"05/05/2000",0,"11/15/1999",99000,"10/26/1987",NA,NA,NA,NA,1900,1920,10,"2 Family","Multi-Fam 2-4","Average",2,"None","Average","Average",0.1,"RM2","1600",0,41.3203243,-72.9363
18222,"718 ORCHARD ST",133800,4,0,2.5,142000,"03/31/2015",48000,"02/09/2012",0,"12/24/1986",NA,NA,NA,NA,1900,1920,93,"Colonial","Single Family","Average",2,"None","Average","Average",0.11,"RM2","1600",0,41.32021,-72.93635
18223,"714 ORCHARD ST",95800,6,0,3,73000,"06/26/1995",40000,"10/10/1985",NA,NA,NA,NA,NA,NA,1900,2332,68,"3 Family","Multi-Fam 2-4","Average",3,"None","Average","Average",0.09,"RM2","1600",576,41.320118,-72.936386
18224,"708 ORCHARD ST",112800,8,0,4,0,"07/15/2013",0,"02/05/2010",0,"01/04/2006",95000,"07/05/2005",137000,"12/02/1999",1900,3344,68,"4 Family","Multi-Fam 2-4","Average",4,"None","Average","Average",0.21,"RM2","1600",0,41.319977,-72.93645
18225,"702 ORCHARD ST",95300,9,1,3,0,"06/19/2006",0,"12/20/2002",5350,"12/01/2000",0,"12/16/1986",NA,NA,1900,2564,68,"3 Family","Multi-Fam 2-4","Average",3,"None","Average","Average",0.12,"RM2","1600",0,41.319836,-72.93656069
18226,"698 ORCHARD ST",115300,6,0,3,0,"09/13/2013",0,"10/29/2009",7812,"05/12/2006",109375,"05/12/2006",0,"10/16/1997",1900,2850,78,"3 Family","Multi-Fam 2-4","Average",3,"None","Average","Average",0.12,"RM2","1600",288,41.319744,-72.93655
18228,"692 ORCHARD ST",109700,2,0,1.5,138000,"11/22/2010",38000,"10/05/2004",0,"09/04/1979",NA,NA,NA,NA,1900,1409,96,"Colonial","Single Family","Average",1,"None","Average","Average",0.21,"RM2","1600",0,41.31957877,-72.93661
18229,"688 ORCHARD ST",49800,2,0,2,185000,"09/26/2008",0,"07/17/2002",0,"12/14/2000",7000,"12/14/2000",0,"06/26/1986",1900,1632,55,"2 Family","Multi-Fam 2-4","Below Average",2,"None","Average","Average",0.1,"RM2","1600",0,41.319472245,-72.93666127
18231,"680 ORCHARD ST",81700,5,0,2,0,"07/13/2015",87000,"01/06/2015",58275,"12/04/2014",0,"11/05/2014",0,"10/08/2013",1900,1860,68,"2 Family","Multi-Fam 2-4","Average",2,"None","Average","Average",0.15,"RM2","1600",0,41.31925383,-72.93681449
