"totval","bedrooms","nineplus","finalbaths","price1","date1","price2","date2","price3","date3","price4","date4","price5","date5","yearbuilt","sqft","pctgood","style","model","grade","occupancy","actype","bathstyle","kstyle","acres","zone","neighborhood","garagesqft","latitude","longitude"
87500,4,0,2,0,"09/17/1982",NA,NA,NA,NA,NA,NA,NA,NA,1900,2004,55,"2 Family","Multi-Fam 2-4","Average",2,"None","Average","Average",0.23,"RM2","1800",0,41.31348,-72.94023
328900,4,0,3,0,"07/24/1998",0,"01/12/1998",160000,"01/12/1996",NA,NA,NA,NA,1920,3010,68,"Colonial","Single Family","Ave/Good",1,"Central","Average","Average",0.19,"RS2","2400",0,41.31780511,-72.9646153166667
247800,4,0,1,0,"06/01/1983",NA,NA,NA,NA,NA,NA,NA,NA,1910,1768,78,"Colonial","Single Family","Above Average",1,"None","Average","Average",0.17,"RM1","2400",400,41.3187776,-72.9613931466667
116600,4,0,2,0,"12/27/1982",NA,NA,NA,NA,NA,NA,NA,NA,1900,2940,78,"2 Family","Multi-Fam 2-4","Average",2,"None","Average","Average",0.08,"RM2","2000",504,41.29159,-72.936264
62600,2,0,1.5,79900,"07/24/1990",NA,NA,NA,NA,NA,NA,NA,NA,1990,964,91,"Condominium","Res Condo","Ave/Good",1,"None","Average","Average",0,"RM1","0800",0,41.32498845,-72.87129
201300,2,0,2.5,102500,"05/29/1996",NA,NA,NA,NA,NA,NA,NA,NA,1984,1406,91,"Condominium","Res Condo","Good",1,"None","Average","Average",0,"RS2","0200",240,41.274887,-72.8963
119100,3,0,1,0,"03/10/1977",NA,NA,NA,NA,NA,NA,NA,NA,1956,960,68,"Ranch","Single Family","Average",1,"None","Average","Average",0.09,"RM2","0800",0,41.330593,-72.87503
150100,3,0,1,0,"08/05/2005",0,"05/12/1993",NA,NA,NA,NA,NA,NA,1959,960,78,"Ranch","Single Family","Average",1,"None","Average","Average",0.13,"RS2","0200",480,41.276585,-72.88793
200400,3,0,2,224000,"11/05/2013",0,"10/30/2013",220000,"04/21/2009",0,"10/01/2008",0,"10/01/2008",2006,1345,96,"Raised Ranch","Single Family","Above Average",1,"Central","Average","Average",0.14,"RM1","0300",220,41.28781209,-72.8941118466667
258400,6,0,2.5,0,"08/10/1995",114000,"04/28/1995",0,"05/25/1994",NA,NA,NA,NA,1935,2507,78,"Colonial","Single Family","Ave/Good",1,"None","Average","Average",0.21,"RS1","2200",360,41.319139915,-72.955782725
263900,4,0,2.5,122000,"11/21/1996",0,"06/19/1991",NA,NA,NA,NA,NA,NA,1930,2857,78,"Colonial","Single Family","Ave/Good",1,"None","Average","Average",0.34,"RS2","1700",361,41.3243165,-72.94226
105400,6,0,3,108000,"04/26/2011",0,"11/02/2007",239000,"05/09/2005",45000,"10/04/2004",95972,"02/17/2000",1900,3310,68,"2 Family","Multi-Fam 2-4","Average",2,"None","Average","Average",0.08,"RM2","1600",0,41.32663,-72.9257804166667
161600,2,0,1.5,230000,"07/14/2005",0,"08/10/2004",0,"06/30/1999",0,"04/02/1990",NA,NA,1955,1216,66,"Ranch","Single Family","Average",1,"Central","Average","Average",0.22,"RS2","0101",288,41.268243605,-72.896904
149600,2,0,1.5,0,"06/29/2012",0,"06/29/2012",0,"06/08/2012",0,"06/06/1985",NA,NA,1935,1306,68,"Colonial","Single Family","Above Average",1,"None","Average","Average",0.13,"RS2","0101",0,41.268505935,-72.89478
195300,1,0,1,82500,"06/27/2013",82500,"06/27/2013",64500,"05/03/2004",64500,"05/03/2004",70000,"05/20/1991",1915,530,80,"Condominium","Res Condo","Ave/Good",1,"None","Average","Average",0,"RM2","1200",0,41.31518,-72.9171447933333
144600,2,0,2.5,73000,"06/18/1999",0,"01/19/1984",NA,NA,NA,NA,NA,NA,1980,1222,90,"Condominium","Res Condo","Good",1,"Central","Average","Average",0,"RM2","2600",0,41.32857814,-72.9630233266667
219900,3,0,2.5,280000,"08/12/2004",99000,"03/04/1988",NA,NA,NA,NA,NA,NA,1944,2125,68,"Colonial","Single Family","Above Average",1,"None","Average","Average",0.29,"RS2","2800",420,41.32515,-72.97735463
