"Event","Round","Diver","Country","Rank","DiveNo","Difficulty","JScore","Judge","JCountry"
"M3mSB","Semifinal","FECK Stephan","GER","15",4,"3.0","6.5","CALDERON RODRIGUEZ Felix","PUR"
"M3mSB","Semifinal","FECK Stephan","GER","15",4,"3.0","6.0","KELEMEN Ildiko","HUN"
"M3mSB","Semifinal","FECK Stephan","GER","15",5,"3.5","7.5","RUIZ Rolando","CUB"
"M3mSB","Semifinal","FECK Stephan","GER","15",5,"3.5","7.5","NOVOTNA Hana","CZE"
"M3mSB","Semifinal","FECK Stephan","GER","15",5,"3.5","7.0","ROSLAN Rossharisham","MAS"
"M3mSB","Semifinal","FECK Stephan","GER","15",5,"3.5","7.5","AXTELIUS Peter","SWE"
"M3mSB","Semifinal","FECK Stephan","GER","15",5,"3.5","7.5","LATIMER Simon James","NZL"
"M3mSB","Semifinal","FECK Stephan","GER","15",5,"3.5","7.5","CALDERON RODRIGUEZ Felix","PUR"
"M3mSB","Semifinal","FECK Stephan","GER","15",5,"3.5","7.5","KELEMEN Ildiko","HUN"
"M3mSB","Semifinal","FECK Stephan","GER","15",6,"3.3","7.5","RUIZ Rolando","CUB"
"M3mSB","Semifinal","FECK Stephan","GER","15",6,"3.3","7.5","NOVOTNA Hana","CZE"
"M3mSB","Semifinal","FECK Stephan","GER","15",6,"3.3","7.5","ROSLAN Rossharisham","MAS"
"M3mSB","Semifinal","FECK Stephan","GER","15",6,"3.3","7.5","AXTELIUS Peter","SWE"
"M3mSB","Semifinal","FECK Stephan","GER","15",6,"3.3","7.5","LATIMER Simon James","NZL"
"M3mSB","Semifinal","FECK Stephan","GER","15",6,"3.3","7.0","CALDERON RODRIGUEZ Felix","PUR"
"M3mSB","Semifinal","FECK Stephan","GER","15",6,"3.3","7.5","KELEMEN Ildiko","HUN"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",1,"3.0","7.5","RUIZ Rolando","CUB"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",1,"3.0","7.5","NOVOTNA Hana","CZE"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",1,"3.0","7.5","ROSLAN Rossharisham","MAS"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",1,"3.0","7.5","AXTELIUS Peter","SWE"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",1,"3.0","7.0","LATIMER Simon James","NZL"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",1,"3.0","7.0","CALDERON RODRIGUEZ Felix","PUR"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",1,"3.0","7.0","KELEMEN Ildiko","HUN"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",2,"3.0","8.5","RUIZ Rolando","CUB"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",2,"3.0","8.5","NOVOTNA Hana","CZE"
"M3mSB","Semifinal","MEARS Christopher","GBR","16",2,"3.0","8.5","ROSLAN Rossharisham","MAS"
