"Event","Round","Diver","Country","Rank","DiveNo","Difficulty","JScore","Judge","JCountry"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,5,3.1,8,"ROSLAN Rossharisham","MAS"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,5,3.1,7.5,"AXTELIUS Peter","SWE"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,5,3.1,7.5,"MIRZA KHANLARI Gholamreza","IRI"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,5,3.1,8.5,"SOROKINA Anna","UKR"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,5,3.1,8,"BANUELOS Ricardo","MEX"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,5,3.1,8.5,"BOUSSARD Michel","FRA"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,6,3.4,7.5,"BARBOSA Ana Virginia","BRA"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,6,3.4,8,"TOULOUDIS Nikolaos","GRE"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,6,3.4,7.5,"BEDDOE Valerie","AUS"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,6,3.4,7.5,"SHOLTIS Christina","USA"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,6,3.4,7.5,"STRITT BURK Carmen","SUI"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,6,3.4,8,"ITO Masaaki","JPN"
"M3mSB","Preliminary","LAUGHER Jack","GBR",5,6,3.4,7.5,"MANZONI Renato","ITA"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,1,3.4,7.5,"BRUN Aristid","AUS"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,1,3.4,6.5,"ROSLAN Rossharisham","MAS"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,1,3.4,7.5,"AXTELIUS Peter","SWE"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,1,3.4,6.5,"MIRZA KHANLARI Gholamreza","IRI"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,1,3.4,7,"SOROKINA Anna","UKR"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,1,3.4,7,"BANUELOS Ricardo","MEX"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,1,3.4,7,"BOUSSARD Michel","FRA"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,2,3.5,6,"BRUN Aristid","AUS"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,2,3.5,6,"ROSLAN Rossharisham","MAS"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,2,3.5,6,"AXTELIUS Peter","SWE"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,2,3.5,6,"MIRZA KHANLARI Gholamreza","IRI"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,2,3.5,6,"SOROKINA Anna","UKR"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,2,3.5,6,"BANUELOS Ricardo","MEX"
"M3mSB","Preliminary","ZAKHAROV Illya","RUS",6,2,3.5,6,"BOUSSARD Michel","FRA"
