"Event","Round","Diver","Country","Rank","DiveNo","Difficulty","JScore","Judge","JCountry"
"W3mSB","Preliminary","CHEONG Jun Hoong","MAS","7",3,"3.0","7.5","DIETRICH Monika","GER"
"W3mSB","Preliminary","CHEONG Jun Hoong","MAS","7",3,"3.0","8.0","ITO Masaaki","JPN"
"W3mSB","Preliminary","CHEONG Jun Hoong","MAS","7",3,"3.0","7.5","NOVOTNA Hana","CZE"
"W3mSB","Preliminary","CHEONG Jun Hoong","MAS","7",3,"3.0","8.0","TSUI Wing Hung","HKG"
"W3mSB","Preliminary","CHEONG Jun Hoong","MAS","7",3,"3.0","8.0","MANZONI Renato","ITA"
"W3mSB","Preliminary","CHEONG Jun Hoong","MAS","7",3,"3.0","8.0","ROCHA Sergio",NA
"W3mSB","Preliminary","CHEONG Jun Hoong","MAS","7",4,"3.0","8.0","ILIES Daniela Mihael","ROU"
"W3mSB","Preliminary","CHEONG Jun Hoong","MAS","7",4,"3.0","8.0","PACHECO Caroline","PUR"
"W3mSB","Preliminary","CHEONG Jun Hoong","MAS","7",4,"3.0","8.0","BOUSSARD Michel","FRA"
"W3mSB","Preliminary","CHEONG Jun Hoong","MAS","7",4,"3.0","8.5","LER SOON TIEN Damien","SIN"
"W3mSB","Preliminary","CHEONG Jun Hoong","MAS","7",4,"3.0","8.0","SAGE Christopher","GBR"
"W3mSB","Preliminary","CHEONG Jun Hoong","MAS","7",4,"3.0","8.0","LATIMER Simon James","NZL"
"W3mSB","Preliminary","CHEONG Jun Hoong","MAS","7",4,"3.0","8.0","AXTELIUS Peter","SWE"
"W3mSB","Preliminary","CHEONG Jun Hoong","MAS","7",5,"2.9","6.5","ILIES Daniela Mihael","ROU"
"W3mSB","Preliminary","CHEONG Jun Hoong","MAS","7",5,"2.9","7.5","PACHECO Caroline","PUR"
"W3mSB","Preliminary","CHEONG Jun Hoong","MAS","7",5,"2.9","6.0","BOUSSARD Michel","FRA"
"W3mSB","Preliminary","CHEONG Jun Hoong","MAS","7",5,"2.9","7.5","LER SOON TIEN Damien","SIN"
"W3mSB","Preliminary","CHEONG Jun Hoong","MAS","7",5,"2.9","7.0","SAGE Christopher","GBR"
"W3mSB","Preliminary","CHEONG Jun Hoong","MAS","7",5,"2.9","6.5","LATIMER Simon James","NZL"
"W3mSB","Preliminary","CHEONG Jun Hoong","MAS","7",5,"2.9","7.5","AXTELIUS Peter","SWE"
"W3mSB","Preliminary","KRUG Cassidy","USA","8",1,"3.0","7.5","BARBOSA Ana Virginia","BRA"
