"pid","location","lat","lon"
647,"127 HYDE ST",NA,NA
648,"133 HYDE ST",NA,NA
649,"141 HYDE ST",NA,NA
650,"471 FORT HALE RD",NA,NA
651,"FORT HALE RD",NA,NA
652,NA,NA,NA
653,"487 FORT HALE RD",NA,NA
654,"495 FORT HALE RD",NA,NA
655,"54 STEWART ST",NA,NA
656,"50 STEWART ST",NA,NA
657,"44 STEWART ST",NA,NA
658,"120 STUYVESANT AV",NA,NA
659,"35 STEWART ST",NA,NA
660,"41 STEWART ST",NA,NA
661,"43 STEWART ST",NA,NA
662,"49 STEWART ST",NA,NA
663,"57 STEWART ST",NA,NA
664,"515 FORT HALE RD",NA,NA
665,"535 FORT HALE RD",NA,NA
666,"555 FORT HALE RD",NA,NA
667,"569 FORT HALE RD",NA,NA
668,"585 FORT HALE RD",NA,NA
669,"230 BURR ST",NA,NA
670,"226 BURR ST",NA,NA
671,"220 BURR ST",NA,NA
672,"210 BURR ST",NA,NA
673,"150 STUYVESANT AV",NA,NA
674,"146 STUYVESANT AV",NA,NA
675,"151 HYDE ST",NA,NA
676,"159 HYDE ST",NA,NA
677,"165 HYDE ST",NA,NA
678,"119 HALL ST",NA,NA
679,"129 HALL ST",NA,NA
680,"137 HALL ST",NA,NA
681,"145 HALL ST",NA,NA
682,"151 HALL ST",NA,NA
683,"155 HALL ST",NA,NA
684,"159 HALL ST",NA,NA
685,"163 HALL ST",NA,NA
686,"175 HALL ST",NA,NA
687,"274 BURR ST",NA,NA
688,"266 BURR ST",NA,NA
689,"258 BURR ST",NA,NA
690,"250 BURR ST",NA,NA
691,"570 FORT HALE RD",NA,NA
