pid,location
837,25 MYRON ST
838,33 MYRON ST
839,37 MYRON ST
840,43 MYRON ST
841,47 MYRON ST
842,53 MYRON ST
843,57 MYRON ST
844,63 MYRON ST
845,288 CONCORD ST
846,280 CONCORD ST
847,274 CONCORD ST
848,270 CONCORD ST
849,264 CONCORD ST
850,260 CONCORD ST
851,256 CONCORD ST
852,58 FLORENCE AV
853,54 FLORENCE AV
854,52 FLORENCE AV
855,46 FLORENCE AV
856,40 FLORENCE AV
857,4 DORCHESTER TER
858,2 DORCHESTER TER
859,34 FLORENCE AV
860,26 FLORENCE AV
861,22 FLORENCE AV
862,18 FLORENCE AV
863,255 TOWNSEND AV
864,261 TOWNSEND AV
865,265 TOWNSEND AV
866,271 TOWNSEND AV
867,277 TOWNSEND AV
868,291 TOWNSEND AV
869,295 TOWNSEND AV
870,293 TOWNSEND AV
871,299 TOWNSEND AV
872,305 TOWNSEND AV
873,309 TOWNSEND AV
874,91 MYRON ST
875,95 MYRON ST
876,99 MYRON ST
877,109 MYRON ST
878,105 MYRON ST
879,115 MYRON ST
880,131 MYRON ST
881,ALFRED ST
882,38 ALFRED ST
883,32 ALFRED ST
884,28 ALFRED ST
885,18 ALFRED ST
886,16 ALFRED ST
887,263 CONCORD ST
888,273 CONCORD ST
889,275 CONCORD ST
890,281 CONCORD ST
891,371 TOWNSEND AV
892,17 BURR ST
893,25 BURR ST
894,7 IRA ST
895,24 IRA ST
896,20 IRA ST
897,12 IRA ST
898,2 IRA ST
899,1A IRA ST
900,325 TOWNSEND AV
901,333 TOWNSEND AV
902,TOWNSEND AV
903,343 TOWNSEND AV
904,341 TOWNSEND AV
905,351 TOWNSEND AV
906,357 TOWNSEND AV
907,361 TOWNSEND AV
908,365 TOWNSEND AV
909,37 BURR ST
910,39 BURR ST
911,45 BURR ST
912,55 BURR ST
913,65 BURR ST
914,346 CONCORD ST
915,338 CONCORD ST
916,334 CONCORD ST
917,324 CONCORD ST
918,320 CONCORD ST
919,CONCORD ST
920,72 MYRON ST
921,64 MYRON ST
922,60 MYRON ST
923,MYRON ST
924,1 IRA ST
925,1B IRA ST
926,1C IRA ST
927,3 IRA ST
928,5 IRA ST
929,9 IRA ST
930,NA
931,21 IRA ST
932,23 IRA ST
933,5 ELMER ST
934,7 ELMER ST
935,15 ELMER ST
936,25 ELMER ST
937,35 ELMER ST
938,1800 DEAN ST
939,1760 DEAN ST
940,130 MYRON ST
941,DEAN ST
942,124 MYRON ST
943,118 MYRON ST
944,112 MYRON ST
945,106 MYRON ST
946,100 MYRON ST
947,96 MYRON ST
948,297 CONCORD ST
949,301 CONCORD ST
950,307 CONCORD ST
951,54 TOWNSEND AV
952,TOWNSEND AV
953,197 TOWNSEND AV
954,15 PARKER PL
955,21 PARKER PL
956,25 PARKER PL
957,29 PARKER PL
958,35 PARKER PL
959,37 PARKER PL
960,41 PARKER PL
961,45 PARKER PL
962,51 PARKER PL
963,55 PARKER PL
964,52 BEECHER PL
965,50 BEECHER PL
966,46 BEECHER PL
967,42 BEECHER PL
968,38 BEECHER PL
969,34 BEECHER PL
970,26 BEECHER PL
971,18 BEECHER PL
972,14 BEECHER PL
973,183 TOWNSEND AV
974,187 TOWNSEND AV
975,201 CONCORD ST
976,71 PARKER PL
977,73 PARKER PL
978,91 PARKER PL
979,95 PARKER PL
980,103 PARKER PL
981,107 PARKER PL
982,40 ARDEN ST
983,28 ARDEN ST
984,24 ARDEN ST
985,20 ARDEN ST
986,14 ARDEN ST
987,12 ARDEN ST
988,173 CONCORD ST
989,189 CONCORD ST
990,193 CONCORD ST
991,249 TOWNSEND AV
992,19 FLORENCE AV
993,25 FLORENCE AV
994,35 FLORENCE AV
995,37 FLORENCE AV
996,41 FLORENCE AV
997,32 MANSION ST
998,30 MANSION ST
999,28 MANSION ST
1000,22 MANSION ST
1001,18 MANSION ST
1002,14 MANSION ST
1003,8 MANSION ST
1004,4 MANSION ST
1005,28 PARKER PL
1006,PARKER PL
1007,24 PARKER PL
1008,PARKER PL
1009,18 PARKER PL
1010,207 TOWNSEND AV
1011,211 TOWNSEND AV
1012,215 TOWNSEND AV
1013,219 TOWNSEND AV
1014,223 TOWNSEND AV
1015,225 TOWNSEND AV
1016,229 TOWNSEND AV
1017,235 TOWNSEND AV
1018,239 TOWNSEND AV
1019,241 TOWNSEND AV
1020,245 TOWNSEND AV
1021,53 FLORENCE AV
1022,57 FLORENCE AV
1023,61 FLORENCE AV
1024,65 FLORENCE AV
1025,69 FLORENCE AV
1026,236 CONCORD ST
1027,230 CONCORD ST
1028,224 CONCORD ST
1029,220 CONCORD ST
1030,210 CONCORD ST
1031,50 PARKER PL
1032,11 MANSION ST
1033,15 MANSION ST
1034,25 MANSION ST
1035,27 MANSION ST
1036,29 MANSION ST
1037,33 MANSION ST
1038,227 CONCORD ST
1039,11 NELSON ST
1040,15 NELSON ST
1041,23 NELSON ST
1042,41 NELSON ST
1043,47 NELSON ST
1044,1610 DEAN ST
1045,110 PARKER PL
1046,100 PARKER PL
1047,94 PARKER PL
1048,80 PARKER PL
1049,76 PARKER PL
1050,74 PARKER PL
1051,72 PARKER PL
1052,68 PARKER PL
1053,219 CONCORD ST
1054,223 CONCORD ST
1055,168 TOWNSEND AV
1056,TOWNSEND AV
1057,154 TOWNSEND AV
1058,150 TOWNSEND AV
1059,146 TOWNSEND AV
1060,144 TOWNSEND AV
1061,138 TOWNSEND AV
1062,TOWNSEND AV
1063,126 TOWNSEND AV
1064,120 TOWNSEND AV
1065,112 TOWNSEND AV
1066,110 TOWNSEND AV
1067,100 TOWNSEND AV
1068,92 TOWNSEND AV
1069,90 TOWNSEND AV
1070,TOWNSEND AV
1071,88 TOWNSEND AV
1072,80 TOWNSEND AV
1073,31 ALDEN ST
1074,25 ALDEN ST
1075,1366 DEAN ST
1076,1340 DEAN ST
1077,1354 DEAN ST
1078,1330 DEAN ST
1079,1320 DEAN ST
1080,1310 DEAN ST
1081,1294 DEAN ST
1082,1284 DEAN ST
1083,1274 DEAN ST
1084,1264 DEAN ST
1085,1254 DEAN ST
1086,1244 DEAN ST
1087,1236 DEAN ST
1088,1224 DEAN ST
1089,50 MORRIS CSWY
1090,44 MORRIS CSWY
1091,38 MORRIS CSWY
1092,32 MORRIS CSWY
1093,7 CONCORD ST
1094,9 CONCORD ST
1095,23 CONCORD ST
1096,27 CONCORD ST
1097,31 CONCORD ST
1098,37 CONCORD ST
1099,43 CONCORD ST
